20260913T2115	bravo-flooded-pocket-no-tools	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples95
20260913T2115	bravo-flooded-pocket-no-tools	candidate	mcai-recovery	alive	not	rise4	move0	picks_lost0	samples68
20260913T2115	bravo-flooded-pocket-no-tools	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples80
20260913T2115	buried-ore-d5	control	mcai-rl02	alive	not	rise4	move11	picks_lost0	samples20
20260913T2115	buried-ore-d5	candidate	mcai-recovery	alive	not	rise2	move0	picks_lost0	samples19
20260913T2115	buried-ore-d5	candidate	mcai-recovery	alive	not	rise6	move0	picks_lost0	samples24
20260913T2115	buried-ore-d5	control	mcai-rl02	alive	not	rise4	move4	picks_lost0	samples37
20260913T2115	buried-ore-d5	control	mcai-rl02	alive	not	rise1	move20	picks_lost0	samples66
20260913T2115	buried-ore-d5	candidate	mcai-recovery	alive	not	rise6	move0	picks_lost0	samples22
20260913T2115	buried-ore-d6-detour	candidate	mcai-recovery	alive	not	rise6	move0	picks_lost0	samples22
20260913T2115	buried-ore-d6-detour	control	mcai-rl02	alive	not	rise5	move20	picks_lost0	samples29
20260913T2115	buried-ore-d6-detour	control	mcai-rl02	alive	not	rise2	move27	picks_lost0	samples39
20260913T2115	buried-ore-d6-detour	candidate	mcai-recovery	alive	not	rise8	move1	picks_lost0	samples29
20260913T2115	buried-ore-d6-detour	control	mcai-rl02	alive	not	rise0	move20	picks_lost0	samples36
20260913T2115	buried-ore-d6-detour	candidate	mcai-recovery	alive	not	rise10	move4	picks_lost0	samples29
20260914T1053	lava-pocket-entombed	candidate	mcai-rldanger	DIED	not	rise10	move4	picks_lost1	samples6
20260914T1053	lava-pocket-entombed	control	mcai-rl02	DIED	not	rise0	move20	picks_lost1	samples6
20260914T1053	lava-pocket-entombed	control	mcai-rl02	DIED	not	rise0	move1	picks_lost0	samples6
20260914T1053	lava-pocket-entombed	candidate	mcai-rldanger	DIED	not	rise0	move1	picks_lost0	samples6
20260914T1053	lava-pocket-entombed	control	mcai-rl02	DIED	not	rise0	move0	picks_lost0	samples7
20260914T1053	lava-pocket-entombed	candidate	mcai-rldanger	DIED	not	rise0	move1	picks_lost0	samples7
20260914T1720	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples93
20260914T1720	bravo-pocket-with-pickaxe	candidate	mcai-recovery	alive	not	rise6	move0	picks_lost0	samples103
20260914T1720	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples22
20260914T1720	bravo-pocket-with-pickaxe	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples46
20260914T1720	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples14
20260914T1720	bravo-pocket-with-pickaxe	candidate	mcai-recovery	alive	not	rise1	move0	picks_lost0	samples49
20260914T1733	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples16
20260914T1733	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise0	move0	picks_lost0	samples40
20260914T1733	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise1	move0	picks_lost0	samples48
20260914T1733	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise1	move0	picks_lost0	samples69
20260914T1733	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise0	move0	picks_lost0	samples94
20260914T1733	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise2	move0	picks_lost0	samples21
20260914T1749	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise1	move0	picks_lost0	samples72
20260914T1749	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise2	move0	picks_lost0	samples44
20260914T1749	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise1	move0	picks_lost0	samples90
20260914T1749	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples32
20260914T1749	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise0	move0	picks_lost0	samples49
20260914T1749	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise1	move0	picks_lost0	samples67
20260914T1803	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise2	move0	picks_lost0	samples16
20260914T1803	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise1	move0	picks_lost0	samples49
20260914T1803	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise1	move0	picks_lost0	samples49
20260914T1803	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise1	move0	picks_lost0	samples72
20260914T1803	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise1	move0	picks_lost0	samples50
20260914T1803	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples28
20260914T1818	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise1	move0	picks_lost0	samples59
